combination,accuracy
"('Year', 'Day', 'link_count', 'author', 'channel')","[0.5199039537116436, 0.0047426384548194984]"
"('Hour', 'content_len', 'link_count', 'title_word_count', 'author')","[0.5198757668634951, 0.008547298469207047]"
"('Month', 'Day', 'Hour', 'content_len', 'title_word_count', 'title_bit_count')","[0.5198693002591744, 0.006480327887699698]"
"('Weekday', 'Year', 'link_count', 'title_bit_count', 'channel')","[0.5198647972089248, 0.001983245148983873]"
"('Month', 'link_count', 'title_word_count', 'title_bit_count')","[0.5198599552016818, 0.004623030886295588]"
"('Weekday', 'link_count', 'title_word_count', 'channel')","[0.5198572292316611, 0.010696370561367638]"
"('Day', 'img_count', 'channel')","[0.5198519379519165, 0.0012360273378101438]"
"('Year', 'Day', 'Hour', 'author', 'channel')","[0.5198372402617002, 0.006318127827899939]"
"('Year', 'Day', 'content_len', 'title_bit_count', 'author')","[0.5198274395358613, 0.009082737795520414]"
"('Month', 'img_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5198116896970512, 0.003332172905614324]"
"('Month', 'Year', 'Day', 'title_word_count', 'title_bit_count')","[0.5198081708916124, 0.0051643346024602575]"
"('Month', 'img_count', 'link_count')","[0.5197990656776019, 0.004208098084843567]"
"('title_bit_count', 'author', 'channel')","[0.5197928274786101, 0.004057445479591722]"
"('Month', 'Day', 'content_len', 'title_word_count', 'channel')","[0.5197611103044463, 0.00961031748174124]"
"('Month', 'img_count', 'content_len', 'title_bit_count', 'channel')","[0.5197595540079889, 0.0038618907369152157]"
"('Month', 'Hour', 'content_len', 'title_word_count', 'channel')","[0.5197133596401305, 0.00818437403511645]"
"('Month', 'Year', 'Hour', 'title_word_count', 'channel')","[0.5196868321396508, 0.0022553604293579516]"
"('Weekday', 'content_len', 'link_count', 'channel')","[0.519676300298023, 0.006836185444615302]"
"('content_len', 'link_count', 'author', 'channel')","[0.5196749055589522, 0.006269911445136484]"
"('Weekday', 'Hour', 'img_count', 'content_len')","[0.5196704445476789, 0.0071128223831734404]"
"('Month', 'Hour', 'img_count', 'content_len')","[0.5196195142373167, 0.004852567546513815]"
"('img_count', 'link_count', 'title_bit_count', 'author')","[0.5196169632117071, 0.0078723610624891]"
"('Weekday', 'Year', 'Hour', 'title_word_count', 'channel')","[0.5196087406419275, 0.0016616949557153604]"
"('Month', 'Year', 'Hour', 'content_len', 'title_word_count')","[0.5195680331958871, 0.004746027593535737]"
"('Month', 'Year', 'img_count', 'content_len', 'title_bit_count')","[0.5195589365934706, 0.002428280246550499]"
"('Month', 'Day', 'img_count', 'link_count', 'title_bit_count')","[0.5195525645456701, 0.0015616136190278772]"
"('Year', 'img_count', 'title_word_count', 'author', 'channel')","[0.5195517090637634, 0.007741422178718949]"
"('Weekday', 'link_count', 'author')","[0.519539593352292, 0.008288571540096046]"
"('Weekday', 'Hour', 'link_count', 'title_word_count', 'title_bit_count')","[0.5195388709710874, 0.004831896037822403]"
"('Year', 'Hour', 'img_count', 'link_count', 'author')","[0.5195377274257389, 0.007123945753432056]"
"('Year', 'content_len', 'author', 'channel')","[0.5195305812058525, 0.007284725443391189]"
"('Month', 'Hour', 'img_count', 'title_bit_count')","[0.5195302980785977, 0.00469809096629895]"
"('Hour', 'img_count', 'content_len', 'title_word_count', 'author')","[0.5195050600292144, 0.011006089168089728]"
"('Weekday', 'Day', 'title_word_count', 'channel')","[0.5194254891756852, 0.00484157905705033]"
"('Month', 'Day', 'Hour', 'content_len', 'title_bit_count')","[0.519388671465195, 0.00442668857621721]"
"('Month', 'Year', 'img_count', 'link_count', 'title_word_count', 'title_bit_count')","[0.5193818535791235, 0.006308982759078251]"
"('Day', 'img_count', 'content_len', 'author', 'channel')","[0.5193392414487643, 0.0031569250767687893]"
"('Month', 'content_len', 'link_count', 'title_bit_count')","[0.5193303670089224, 0.007752091306455197]"
"('img_count', 'content_len', 'link_count', 'author')","[0.5193051217517717, 0.009233223863161477]"
"('Year', 'img_count', 'link_count', 'title_bit_count', 'channel')","[0.5192991767350511, 0.005691140364385996]"
"('Month', 'Day', 'link_count', 'title_bit_count', 'channel')","[0.5192735964553011, 0.003993760823828959]"
"('Month', 'Day', 'content_len', 'title_bit_count')","[0.5192203981974962, 0.0061678590733916456]"
"('Month', 'Hour', 'content_len', 'title_word_count', 'title_bit_count')","[0.5191985512781337, 0.00658296503762889]"
"('Year', 'content_len', 'title_bit_count', 'author')","[0.5191881802130311, 0.007219486135788093]"
"('Year', 'Hour', 'img_count', 'author')","[0.5191749835537595, 0.006194362087014641]"
"('Year', 'Day', 'Hour', 'img_count', 'author')","[0.5191736503214983, 0.007303846645222526]"
"('Day', 'img_count', 'content_len', 'link_count', 'author')","[0.5191567593144812, 0.0053037289001494955]"
"('Weekday', 'Day', 'Hour', 'img_count', 'channel')","[0.5191522073708332, 0.008606842191644962]"
"('Hour', 'img_count', 'link_count', 'author', 'channel')","[0.5191283944463729, 0.008282368962332934]"
"('Weekday', 'Hour', 'title_word_count', 'channel')","[0.5191235257604925, 0.008737788538028805]"
"('Year', 'content_len', 'title_word_count', 'title_bit_count', 'author')","[0.5191024594145278, 0.004461312433899909]"
"('Weekday', 'Year', 'Day', 'title_bit_count')","[0.5190773625835529, 0.009104006736265938]"
"('Day', 'Hour', 'img_count', 'author', 'channel')","[0.5190742349096735, 0.007574087669273077]"
"('Hour', 'content_len', 'title_word_count', 'author', 'channel')","[0.5190728111848022, 0.005475917872451971]"
"('Day', 'title_bit_count', 'author')","[0.5190691967250498, 0.007646302450994702]"
"('Day', 'title_word_count', 'title_bit_count', 'author', 'channel')","[0.5190690218731641, 0.0049555633929973695]"
"('content_len', 'author', 'channel')","[0.5190317863491966, 0.008054505504900738]"
"('Weekday', 'Year', 'link_count', 'title_word_count', 'channel')","[0.5190306303641712, 0.012027892921314998]"
"('Weekday', 'Year', 'Hour', 'link_count')","[0.519017463694966, 0.00824782625361028]"
"('Year', 'img_count', 'title_word_count', 'title_bit_count', 'channel')","[0.5190102279938433, 0.006504094592641055]"
"('img_count', 'title_word_count', 'author')","[0.5190099520584479, 0.005126631877252935]"
"('Weekday', 'Day', 'img_count', 'content_len', 'link_count')","[0.5190020250062226, 0.0028005163532648873]"
"('Weekday', 'Hour', 'content_len', 'title_word_count')","[0.5189938014030122, 0.0055402521594909]"
"('Weekday', 'Day', 'link_count', 'title_word_count', 'channel')","[0.5189815007633609, 0.004987856962474143]"
"('Month', 'Day', 'Hour', 'channel')","[0.518968265781993, 0.0019678840140870627]"
"('Month', 'Hour', 'link_count', 'title_word_count', 'title_bit_count')","[0.5189670314466007, 0.005203508469969083]"
"('Weekday', 'Year', 'img_count', 'content_len')","[0.5189560855549167, 0.004531226697747834]"
"('Weekday', 'Day', 'content_len', 'title_bit_count')","[0.5189515434223756, 0.0037233322067912406]"
"('Year', 'link_count', 'title_word_count', 'title_bit_count', 'author')","[0.5189474977022211, 0.0023868351090975803]"
"('Month', 'Day', 'img_count', 'content_len', 'title_bit_count')","[0.51893677050405, 0.0055249614453625655]"
"('Weekday', 'link_count', 'title_bit_count', 'channel')","[0.5189195297520468, 0.008693269499303586]"
"('Weekday', 'Hour', 'title_bit_count', 'author')","[0.5188851398324855, 0.006415068295530871]"
"('Month', 'Year', 'content_len', 'title_word_count', 'channel')","[0.5188378087160082, 0.008942905506550228]"
"('Weekday', 'Day', 'content_len', 'link_count', 'title_bit_count')","[0.5188242014867377, 0.0041549841013277435]"
"('Day', 'Hour', 'content_len', 'title_bit_count', 'author')","[0.5188190423421652, 0.0057340531284918285]"
"('Year', 'Hour', 'title_word_count', 'author', 'channel')","[0.518802728113372, 0.007990122018140814]"
"('Month', 'Day', 'link_count', 'title_word_count')","[0.5188021140957454, 0.008040699077071028]"
"('Weekday', 'Day', 'title_word_count', 'author')","[0.51879949799898, 0.0024406919575706465]"
"('Day', 'Hour', 'img_count', 'title_bit_count', 'author')","[0.5187900497763722, 0.006656010190470433]"
"('Month', 'Year', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.5187557713479114, 0.002979781129368504]"
"('Year', 'Day', 'img_count', 'channel')","[0.5186939653875196, 0.007135536388468716]"
"('Weekday', 'title_word_count', 'title_bit_count', 'channel')","[0.5186809256467475, 0.004010040633978556]"
"('Year', 'Hour', 'content_len', 'author')","[0.5186755005730077, 0.008991173954231655]"
"('Month', 'link_count', 'title_word_count', 'channel')","[0.5186751796012853, 0.003421778323723125]"
"('Month', 'Hour', 'img_count', 'link_count')","[0.518633150956975, 0.0025387131160259334]"
"('Month', 'img_count', 'link_count', 'channel')","[0.5186275503608397, 0.004733432764761168]"
"('Weekday', 'img_count', 'content_len', 'title_word_count', 'title_bit_count')","[0.5186010764941352, 0.006985358401309406]"
"('Year', 'img_count', 'link_count', 'author')","[0.5185931460835752, 0.01051226334599294]"
"('Day', 'img_count', 'link_count', 'author', 'channel')","[0.5185812437708454, 0.004659171889199646]"
"('Month', 'Weekday', 'content_len')","[0.5185711546522327, 0.004950321267615602]"
"('Weekday', 'img_count', 'title_bit_count', 'channel')","[0.5185711030632006, 0.006776071539961578]"
"('Day', 'Hour', 'title_word_count', 'author', 'channel')","[0.5185692129093742, 0.006431321109348743]"
"('Weekday', 'Year', 'Day', 'img_count', 'title_bit_count')","[0.5185220445335952, 0.007177209807618752]"
"('Year', 'Day', 'content_len', 'link_count', 'author')","[0.5184716530068173, 0.0034137180188424433]"
"('Weekday', 'Day', 'content_len', 'link_count', 'title_word_count')","[0.5184628737428385, 0.005617095640110701]"
"('Year', 'Day', 'Hour', 'title_bit_count', 'author')","[0.518453663035971, 0.00810482232340031]"
"('Month', 'content_len', 'link_count', 'title_word_count', 'title_bit_count')","[0.5184519000792503, 0.006065980251708327]"
"('Weekday', 'Year', 'link_count', 'title_bit_count')","[0.5184383685828344, 0.0066277474813464556]"
"('Year', 'img_count', 'link_count', 'title_bit_count', 'author')","[0.5184366217501556, 0.00663013471370677]"
"('Year', 'link_count', 'title_bit_count', 'author')","[0.5184024839488927, 0.008558236981896923]"
"('Year', 'Day', 'link_count', 'title_bit_count', 'author')","[0.5183892890934623, 0.002746038343872039]"
"('Weekday', 'Year', 'Day', 'content_len')","[0.5183864149016466, 0.00333789804423914]"
"('content_len', 'link_count', 'author')","[0.5183459119488086, 0.008016260253856657]"
"('Weekday', 'Hour', 'img_count', 'link_count', 'title_word_count')","[0.5183424696214052, 0.004706071843550186]"
"('Year', 'img_count', 'title_word_count', 'title_bit_count', 'author')","[0.5183319200187605, 0.00605428729133637]"
"('Month', 'Day', 'Hour', 'link_count', 'title_word_count', 'channel')","[0.5183216914819375, 0.005278292417456355]"
"('Weekday', 'img_count', 'content_len', 'title_word_count', 'channel')","[0.51830538136587, 0.01052238553375962]"
"('Month', 'Hour', 'title_word_count', 'title_bit_count')","[0.5182434730379102, 0.0038098980268497693]"
"('link_count', 'title_word_count', 'author')","[0.51823874628858, 0.0024685363549683246]"
"('Day', 'Hour', 'title_bit_count', 'author', 'channel')","[0.5181870684336726, 0.005814338878777755]"
"('Year', 'img_count', 'title_word_count', 'author')","[0.5181846791913907, 0.006582834764298391]"
"('Month', 'Year', 'Hour', 'title_bit_count')","[0.5181701610147185, 0.005546987098917587]"
"('Weekday', 'Day', 'link_count', 'channel')","[0.5181640593052491, 0.004269648455420968]"
"('Month', 'Day', 'Hour', 'content_len')","[0.5181560111553516, 0.004607163767067032]"
"('Year', 'Hour', 'link_count', 'title_bit_count', 'author')","[0.5181554635989692, 0.007854892030371454]"
"('Month', 'img_count', 'content_len', 'link_count', 'title_bit_count')","[0.5181463454711869, 0.0017907072950198396]"
"('Day', 'content_len', 'author')","[0.5181444713860934, 0.007162418274215322]"
"('Weekday', 'content_len', 'link_count', 'title_bit_count', 'channel')","[0.5181355736168183, 0.009069355146115883]"
"('Month', 'Hour', 'img_count', 'link_count', 'title_word_count')","[0.5181026849408326, 0.0031527193717275303]"
"('Weekday', 'Year', 'content_len', 'title_word_count')","[0.5180781750014555, 0.0050417358833202]"
"('Day', 'Hour', 'title_word_count', 'author')","[0.5180564487564109, 0.0064984724441424875]"
"('Weekday', 'Day', 'Hour', 'channel')","[0.5180300794391093, 0.009745872404893292]"
"('Day', 'Hour', 'img_count', 'link_count', 'author')","[0.5180256959346693, 0.0034755077239453885]"
"('Year', 'Day', 'link_count', 'title_word_count', 'author')","[0.5180157790163303, 0.0018639373293208264]"
"('Day', 'title_word_count', 'title_bit_count', 'author')","[0.5179972356331496, 0.006395891272756247]"
"('Weekday', 'Year', 'Day', 'Hour', 'title_bit_count')","[0.5179917549927948, 0.00464446882858406]"
"('img_count', 'channel')","[0.5179755188988819, 0.0061889216665118535]"
"('Weekday', 'Day', 'Hour')","[0.5179493457652811, 0.0072797952714212565]"
"('Hour', 'img_count', 'link_count', 'author')","[0.5179338220588992, 0.009234900149751694]"
"('Hour', 'content_len', 'title_word_count', 'title_bit_count', 'channel')","[0.5179265950239753, 0.006303893135341586]"
"('Month', 'Hour', 'content_len', 'title_word_count')","[0.5179157934971638, 0.008907417617233716]"
"('img_count', 'link_count', 'title_word_count', 'author')","[0.5179152663253281, 0.007605906409034176]"
"('Year', 'Day', 'img_count', 'author')","[0.5179011656989443, 0.01065699368813138]"
"('Day', 'Hour', 'content_len', 'link_count', 'author')","[0.517878156462613, 0.00573712865467098]"
"('Month', 'Hour', 'link_count', 'title_word_count', 'channel')","[0.5178757167079402, 0.0038040505987706357]"
"('Hour', 'content_len', 'title_word_count', 'author')","[0.5178680481619812, 0.010888519608715156]"
"('Weekday', 'Year', 'Hour', 'img_count', 'link_count')","[0.5178615248320255, 0.00732388229403892]"
"('Day', 'img_count', 'title_bit_count', 'author', 'channel')","[0.5178606157906381, 0.008486275860443185]"
"('Year', 'img_count', 'content_len', 'title_word_count', 'author')","[0.5178525536836087, 0.010981152141886448]"
"('Year', 'Day', 'title_word_count', 'title_bit_count', 'author')","[0.5178451603271892, 0.0037876896824026707]"
"('Weekday', 'content_len', 'title_word_count')","[0.5178263746579471, 0.007812608061073518]"
"('Weekday', 'Year', 'Day', 'Hour')","[0.5178226378476879, 0.00638184641417272]"
"('Weekday', 'Year', 'Day', 'link_count', 'title_word_count')","[0.5178193380088194, 0.004904661087016382]"
"('content_len', 'title_bit_count', 'author', 'channel')","[0.5177696680967823, 0.004980102129964184]"
"('Month', 'Day', 'Hour')","[0.5177261542162335, 0.0031258552129075296]"
"('Year', 'Day', 'Hour', 'link_count', 'author')","[0.5177117828764161, 0.00476494660685978]"
"('Month', 'img_count', 'content_len', 'channel')","[0.5177081650426398, 0.006069086187241895]"
"('Month', 'Day', 'img_count', 'title_word_count', 'title_bit_count')","[0.5176826963485762, 0.0074813010485906386]"
"('Weekday', 'Hour', 'title_word_count', 'title_bit_count')","[0.5176763812080816, 0.0032965538515505243]"
"('Month', 'Day', 'content_len', 'link_count', 'title_word_count')","[0.5176373627368619, 0.006225202770663136]"
"('img_count', 'content_len', 'author')","[0.517558601933687, 0.008077696717486715]"
"('Month', 'content_len', 'title_bit_count', 'channel')","[0.517543705409223, 0.006783685170511962]"
"('Year', 'Hour', 'img_count', 'title_word_count', 'author')","[0.5175402067783746, 0.00570694143013289]"
"('Weekday', 'Year', 'Hour', 'img_count', 'title_bit_count')","[0.5175273475828017, 0.008049671966321828]"
"('Month', 'Day', 'img_count', 'title_bit_count')","[0.5175249672855327, 0.00817936755050511]"
"('Month', 'Year', 'img_count', 'content_len', 'link_count')","[0.5175012338163334, 0.005074916688342016]"
"('Year', 'img_count', 'title_word_count', 'channel')","[0.5174941529589288, 0.004240433467099405]"
"('Weekday', 'title_bit_count', 'channel')","[0.5174499437348581, 0.004262554950151558]"
"('Day', 'link_count', 'title_bit_count', 'author')","[0.5174381960157055, 0.006462033477166447]"
"('title_word_count', 'title_bit_count', 'author')","[0.5173857795606129, 0.005008803489900009]"
